name,hd,entered_name,ra,dec,type,vmag,bmv,extinction,teff,logg,feh,visibility,max_alt,max_alt_month,exp_time
*  61 Cyg B,HD201092,HD201092,21 06 55.2638,+38 44 31.358,K7V,6.03,1.3699999,,4177,4.7498,-0.268,[],7.177549239788126,8,1200
*  61 Cyg A,HD201091,HD201091,21 06 53.9395,+38 44 57.902,K5V,5.21,1.1799998,,4510,4.6,-0.24,[],7.1701652596235546,8,900
* mu. Cas,HD6582,HD6582,01 08 16.3029,+54 55 12.561,G5Vb,5.17,0.69000006,,5280,4.7,-0.71,[],-9.03257809078648,10,900
HD 175305,HD175305,HD175305,18 47 06.4416,+74 43 31.451,G5III,7.18,0.75,,5160,2.32,-1.85,[],-28.7346874921899,6,1800
* e Leo,HD99998,HIP 56127,11 30 18.8933,-03 00 12.598,K3+IIIFe-0.5,4.77,1.54,,4024,1.2235,-0.399,"[1, 2, 3, 4, 5]",49.14512634881364,3,900
* mu.02 Pav,HD188887,HIP 98624,20 01 52.4617,-66 56 38.271,K2IVCNII,5.331,1.2150002,,4450,,0.0,"[3, 4, 5, 6, 7, 8, 9, 10, 11]",67.1057993064667,7,900
HD 220572,HD220572,HIP 115620,23 25 19.4647,-56 50 56.341,K0III,5.597,1.0639997,,4816,2.773,0.0,"[5, 6, 7, 8, 9, 10, 11, 12]",77.2671389466913,9,1200
* eps For,HD18907,HIP 14086,03 01 37.6288,-28 05 29.373,G9:V,5.85,0.8299999,,5030,3.5252,-0.641,"[1, 8, 9, 10, 11, 12]",74.00788277462418,11,1200
* eps Eri,HD22049,HIP 16537,03 32 55.8444,-09 27 29.739,K2V,3.73,0.8800001,,5120,4.7,0.01,"[1, 9, 10, 11, 12]",55.38913232928926,11,600
HD  22879,HD22879,HIP 17147,03 40 22.0652,-03 13 01.124,G0VmF2,6.667,0.5550003,,5750,4.5,-0.77,"[1, 9, 10, 11, 12]",49.15073721671855,11,1800
* omi02 Eri,HD26965,HIP 19849,04 15 16.3196,-07 39 10.330,K0V,4.43,0.8200002,,5030,4.4,-0.25,"[1, 9, 10, 11, 12]",53.604945091843554,11,600
* bet Hyi,HD2151,HIP 2021,00 25 45.0703,-77 15 15.286,G0V,2.79,0.6200001,,5797,3.9616,-0.069,throughout,56.862830661672426,9,300
* gam Pic,HD39523,HIP 27530,05 49 49.6600,-56 09 59.997,K1III,4.494,1.0950003,,4690,,-0.4,"[1, 2, 3, 8, 9, 10, 11, 12]",77.82685098377341,12,600
HD  39640,HD39640,HIP 27621,05 50 53.2214,-52 06 31.947,G8III,5.166,0.9760003,,4976,2.73,-0.047,"[1, 2, 3, 9, 10, 11, 12]",81.87901071888813,12,900
* pi.02 Dor,HD46116,HIP 30565,06 25 28.6306,-69 41 25.080,G8III,5.38,0.9699998,,4919,2.66,-0.257,"[1, 2, 3, 4, 5, 8, 9, 10, 11, 12]",64.2831093686837,12,900
HD  60060,HD60060,HIP 36444,07 29 59.7226,-52 39 04.164,K0III,5.863,1.013,,4861,2.58,-0.056,"[1, 2, 3, 4, 9, 10, 11, 12]",81.2842358654975,1,1200
* W Pup,HD62713,HIP 37664,07 43 41.9290,-40 56 01.487,K1III,5.17,1.0999999,,4670,,0.0,"[1, 2, 3, 4, 10, 11, 12]",87.00142374710182,1,900
*  24 Sex,HD90043,HIP 50887,10 23 28.3698,-00 54 08.092,K0IV,6.441,0.9590001,,4932,3.2,,"[1, 2, 3, 4]",47.03268966937575,2,1200
* e Leo,HD99998,HIP 56127,11 30 18.8933,-03 00 12.598,K3+IIIFe-0.5,4.77,1.54,,4024,1.2235,-0.399,"[1, 2, 3, 4, 5]",49.14512634881364,3,900
* bet Vir,HD102870,HIP 57757,11 50 41.7185,+01 45 53.001,F9V,3.6,0.5500002,,6055,4.0,0.18,"[1, 2, 3, 4, 5]",44.37899167582224,3,600
* c Vir,HD107328,HIP 60172,12 20 20.9813,+03 18 45.255,K0.5IIIbFe-0.5,4.96,1.1599998,,4508,2.3,-0.48,"[2, 3, 4, 5]",42.83207301401064,3,900
* kap Oph,HD153210,HIP 83000,16 57 40.0975,+09 22 30.104,K2III,3.2,1.1600001,,4529,2.5,-0.03,"[4, 5, 6, 7]",36.67517405070039,5,300
* bet Oph,HD161096,HIP 86742,17 43 28.3519,+04 34 02.293,K2IIICN0.5,2.75,1.1800001,,4487,2.4,0.02,"[4, 5, 6, 7]",41.45868855342053,6,300
* eta Ser,HD168723,HIP 89962,18 21 18.6005,-02 53 55.776,K0III-IV,3.25,0.94000006,,4864,3.1,-0.42,"[4, 5, 6, 7, 8]",48.902283007465776,6,300
* mu.02 Pav,HD188887,HIP 98624,20 01 52.4617,-66 56 38.271,K2IVCNII,5.331,1.2150002,,4450,,0.0,"[3, 4, 5, 6, 7, 8, 9, 10, 11]",67.1057993064667,7,900
